stop_id,stop_name,stop_lat,stop_lon
RS_ACC1_S-1-1704,석수,37.435050000,126.902300000
RS_ACC1_S-1-1705,관악,37.419230000,126.908710000
RS_ACC1_S-1-1706,안양,37.401590000,126.922870000
RS_ACC1_S-1-1707,명학,37.384650000,126.935430000
RS_ACC1_S-1-1708,금정,37.372220000,126.943430000
RS_ACC1_S-1-1709,군포,37.353560000,126.948460000
RS_ACC1_S-1-1710,의왕,37.320850000,126.948220000
RS_ACC1_S-1-1711,성균관대,37.300350000,126.970750000
RS_ACC1_S-1-1712,화서,37.283860000,126.989630000
RS_ACC1_S-1-1713,수원,37.266160000,126.999710000
RS_ACC1_S-1-1714,독산,37.466610000,126.889250000
RS_ACC1_S-1-1715,세류,37.245030000,127.013220000
RS_ACC1_S-1-1716,병점,37.207500000,127.032730000
RS_ACC1_S-1-1717,세마,37.187530000,127.043180000
RS_ACC1_S-1-1718,오산대,37.168950000,127.063200000
RS_ACC1_S-1-1719,오산,37.145890000,127.066720000
RS_ACC1_S-1-1720,진위,37.109450000,127.062280000
RS_ACC1_S-1-1721,송탄,37.075700000,127.054300000
RS_ACC1_S-1-1722,서정리,37.056500000,127.052820000
RS_ACC1_S-1-1723,지제,37.018800000,127.070440000
RS_ACC1_S-1-1724,평택,36.990730000,127.085160000
RS_ACC1_S-1-1725,성환,36.916080000,127.126960000
RS_ACC1_S-1-1726,직산,36.870590000,127.143900000
RS_ACC1_S-1-1727,두정,36.833710000,127.148960000
RS_ACC1_S-1-1728,천안,36.810010000,127.146830000
RS_ACC1_S-1-1729,당정,37.344290000,126.948350000
RS_ACC1_S-1-1749,서동탄,37.195500000,127.051670000
RS_ACC1_S-1-1750,광명,37.416180000,126.884470000
RS_ACC1_S-1-1751,산본,37.358100000,126.933270000
RS_ACC1_S-1-1752,대야미,37.328470000,126.917330000
RS_ACC1_S-1-1753,반월,37.312210000,126.903520000
RS_ACC1_S-1-1754,상록수,37.302800000,126.866490000
RS_ACC1_S-1-1755,한대앞,37.309690000,126.853440000
RS_ACC1_S-1-1756,중앙,37.315940000,126.838570000
RS_ACC1_S-1-1757,고잔,37.316780000,126.823250000
RS_ACC1_S-1-1758,초지,37.320650000,126.805910000
RS_ACC1_S-1-1759,안산,37.327080000,126.788530000
RS_ACC1_S-1-1760,신길온천,37.338210000,126.765840000
RS_ACC1_S-1-1761,정왕,37.351740000,126.742990000
RS_ACC1_S-1-1762,오이도,37.362360000,126.738710000
RS_ACC1_S-1-1763,수리산,37.349800000,126.925370000
